Pool Pairs	Liquidity	Protocol	Chain	Vault Link
WBTC/USDC $22.8M Uniswap Ethereum https://app.uniswap.org/explore/pools/ethereum/0xCBFB0745b8489973Bf7b334d54fdBd573Df7eF3c
WBTC/USDC $16.8M Uniswap Unichain https://app.uniswap.org/explore/pools/unichain/0xbd0f3a7cf4cf5f48ebe850474c8c0012fa5fe893ab811a8b8743a52b83aa8939
WBTC/USDT0 $15.5M Uniswap Unichain https://app.uniswap.org/explore/pools/unichain/0x05dbb214bd7b9461f9c2f6690b612629b65b9f81d7312fdd3e552d2dda85f771
USDT0/WBTC $14.9M Uniswap Unichain https://app.uniswap.org/explore/pools/unichain/0xc349e9692b4afe1bcfdd6fadaf9ff0df2a2bea8c1a3e56323b57be08e4b8df6a
WBTC/USDT $11.7M Uniswap Ethereum https://app.uniswap.org/explore/pools/ethereum/0x56534741CD8B152df6d48AdF7ac51f75169A83b2
WBTC/USDC $10.7M Uniswap Ethereum https://app.uniswap.org/explore/pools/ethereum/0x9a772018FbD77fcD2d25657e5C547BAfF3Fd7D16
WBTC/USDC $8.2M Uniswap Arbitrum https://app.uniswap.org/explore/pools/arbitrum/0x70bf44c3a9b6b047bf60e5a05968225dbf3d6a5b9e8a95a73727e48921e889c1
USDC/cbBTC $7.6M Uniswap Base https://app.uniswap.org/explore/pools/base/0xfBB6Eed8e7aa03B138556eeDaF5D271A5E1e43ef
WBTC/USDC $7.1M Uniswap Ethereum https://app.uniswap.org/explore/pools/ethereum/0xb98437c7ba28c6590dd4e1cc46aa89eed181f97108e5b6221730d41347bc817f
WBTC/USDC/WETH $1.64M Balancer Polygon https://balancer.fi/pools/polygon/v2/0x03cd191f589d12b0582a99808cf19851e468e6b500010000000000000000000a
WBTC/WETH/USDC.e $478k Balancer Arbitrum https://balancer.fi/pools/arbitrum/v2/0x64541216bafffeec8ea535bb71fbc927831d0595000100000000000000000002
eBTC/USDC $342k Balancer Arbitrum https://balancer.fi/pools/arbitrum/v3/0xa0e5e7728e026bde02810d255a6b94a9aa47b5f9
WBTC/PAXG/USDC $295k Balancer Ethereum https://balancer.fi/pools/ethereum/v3/0x6b61d8680c4f9e560c8306807908553f95c749c5
svBTC/svUSD/svETH $219k Balancer Arbitrum https://balancer.fi/pools/arbitrum/v2/0xd1882ca6a22f3df54cd675b300b815864de67b200001000000000000000004c9
WETH/WBTC/USDC.e $51.3k Balancer Optimism https://balancer.fi/pools/optimism/v2/0x5028497af0c9a54ea8c6d42a054c0341b9fc6168000100000000000000000004
BTC.b/USDC $1.77m LFJ Avalanche https://lfj.gg/avalanche/pool/v21/0x152b9d0fdc40c096757f570a51e494bd4b943e50/0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e/10



