wallet	avg_apr	total_pos_number	total_positions_earn_fees	total_fees_collected_usd	top_3_apr	top_10_apr	max_apr	min_apr	avg_hold_time
0xc39a4bdebcda7aafc63f9e49e152c62229c8208e	0.00	1	0	0.00	0.00	0.00	0.00	0.00	571.95
0xe86c2ddc0c56ca1d2196d611f49b6d895bce27c5	0.00	1	0	0.00	0.00	0.00	0.00	0.00	432.81
0x64165eae2db3fb937332662ac24400cf86e2cb1c	0.00	1	0	0.00	0.00	0.00	0.00	0.00	375.79
0x33ad49a615bae40296e7e22c46714ff9b2722546	0.00	1	0	0.00	0.00	0.00	0.00	0.00	317.20
0xac5a6e127adb6f6d4e9d1a874af0984e7f0e057f	0.00	1	0	0.00	0.00	0.00	0.00	0.00	310.79
0x96660b5dd0b76265c399f2afbd17b0559ea50f45	0.00	1	0	0.00	0.00	0.00	0.00	0.00	309.84
0x69fc3d85e44c7f559cf633ffb728ee4f80bc28de	0.00	1	0	0.00	0.00	0.00	0.00	0.00	264.99
0xa00a546f2fa131d95057043d643020697392f31d	0.00	1	0	0.00	0.00	0.00	0.00	0.00	214.25
0x0fd612192d7b337fa57c7b12cea9d70cfb5cafce	0.00	1	0	0.00	0.00	0.00	0.00	0.00	212.88
0x4d263dffd1a515fcda82b2bc8ec06ea779cbce30	0.00	1	0	0.00	0.00	0.00	0.00	0.00	210.94
0x859e13e6540463d5da15e02c8fcbec39cf1ad974	0.00	1	0	0.00	0.00	0.00	0.00	0.00	194.26
0xbf395260f5780a2bc7c7a3321f59c39f4b91d27f	0.00	1	0	0.00	0.00	0.00	0.00	0.00	186.20
0x9797114d8c6f93c68a79ce6027c1eb64a34576f2	0.00	1	0	0.00	0.00	0.00	0.00	0.00	183.35
0x6a03b14547018c043d665b38a597b7e86ff62d19	0.00	1	0	0.00	0.00	0.00	0.00	0.00	173.08
0x009c41da8fb20f67f7f424fdfdf220af537f6feb	0.00	1	0	0.00	0.00	0.00	0.00	0.00	171.71
0xa14c4b9e9f6e8fcda7f5c117e5c6bcd0889d051b	0.00	2	0	0.00	0.00/0.00	0.00/0.00	0.00	0.00	150.33
0x6f1bf89ece681546fcfcfe19ca005286d6415395	0.00	1	0	0.00	0.00	0.00	0.00	0.00	157.99
0x9ccddb0b4304f4345693f3625c970b28c385f82e	0.00	1	0	0.00	0.00	0.00	0.00	0.00	145.37
0x0a940a627074c19124b3F783a480EDFAf24A1286	0.00	1	1	0.00	0.00	0.00	0.00	0.00	127.61
0x4aa04b60871f53ad55f1ac5270f0058d81282288	0.00	1	0	0.00	0.00	0.00	0.00	0.00	141.34
0x6e4aeb2af9ce3b67116d8b19e6f1ca6b318fc629	0.00	1	0	0.00	0.00	0.00	0.00	0.00	140.09
0xc01ae7ab49d74c99a73737e358b9becc3ca0ce75	0.00	1	0	0.00	0.00	0.00	0.00	0.00	122.47
0xb1364245b779e7e199b47d8f036ea8043b5c7400	0.00	1	0	0.00	0.00	0.00	0.00	0.00	121.93
