wallet	avg_apr	total_pos_number	total_positions_earn_fees	total_fees_collected_usd	top_3_apr	top_10_apr	max_apr	min_apr	avg_hold_time
0x388fC204D9a271c72f11ec7d2d58982Ff34C7B5A	51.95	5	5	66.83	78.53/71.03/57.68	78.53/71.03/57.68/47.96/4.54	78.53	4.54	201.12
0x354a42E95669FA8fe22655C895Ad07a5cd2E9E0C	50.79	2	2	0.01	78.82/22.77	78.82/22.77	78.82	22.77	5.90
0xFb01a77c882Deb72E2733300b190737f45205309	50.41	11	11	125.88	79.29/77.97/58.74	79.29/77.97/58.74/55.90/51.91/49.93/44.11/43.90/41.85/30.01	79.29	20.91	168.25
0x6119C567E6767fEB7f53d859BeAF4E40474F5039	50.30	1	1	1.00	50.30	50.30	50.30	50.30	13.44
0x13d0E359abf2ebb974e939B4Ea111aFB9A467660	50.24	5	5	258.73	117.05/63.12/31.24	117.05/63.12/31.24/27.98/11.83	117.05	11.83	14.12
0xe23dF93f3eAeeb13CDdb9709685Ff923fbF0611f	50.16	1	1	223.85	50.16	50.16	50.16	50.16	210.38
0x2a32584f346868C21AE9B56206EF330B1D96969e	49.93	1	1	409.81	49.93	49.93	49.93	49.93	360.70
0x8cd0a695ed8efA49dbDb4bDf3Ca9276909a01c38	49.32	3	3	26.74	82.26/32.88/32.83	82.26/32.88/32.83	82.26	32.83	231.08
0xA3Fe55381FfC498ddC4Ff83A3ed357840066653B	49.19	1	1	0.01	49.19	49.19	49.19	49.19	0.02
0xF31AD7C437824A17B7176dDBeA8425c252Fc8a64	49.17	2	2	314.82	56.99/41.35	56.99/41.35	56.99	41.35	595.67
0xbFb7CC151595e9433CB4BE6d96DD2224678269A5	49.16	10	10	3659.82	139.18/82.15/79.77	139.18/82.15/79.77/56.97/54.90/41.56/26.76/6.83/3.48/0.03	139.18	0.03	135.27
0xA6bE6D8BE36391FDA1f6D114D806d88aF147a624	49.14	2	2	4.23	61.56/36.71	61.56/36.71	61.56	36.71	0.25
0x71757ED5D35D413F2C9F45FABEc92e0E568A11fC	48.68	2	2	13.99	77.95/19.41	77.95/19.41	77.95	19.41	144.28
0x18a696D9071A8e1e02Be9BDA8ae58C9c198c1c30	48.53	2	2	292.51	49.98/47.09	49.98/47.09	49.98	47.09	80.95
0x71D64A693F90C93551AC7f643C8069F7ECd6ae49	48.38	1	1	0.50	48.38	48.38	48.38	48.38	279.01
0x02236Af3D9D1f1658d07cC9fdd3B2B95528c6e8a	47.05	4	4	22.30	180.53/7.54/0.12	180.53/7.54/0.12/0.03	180.53	0.03	52.83
0xA1c822A79d33F64cdF85cFAb03Eb3a4dF3dF0b84	46.90	4	4	27.22	90.62/67.80/23.56	90.62/67.80/23.56/5.62	90.62	5.62	294.65
0x36409779b2b5a97bBEDF535A99925367d2bbB7B5	46.30	1	1	0.02	46.30	46.30	46.30	46.30	1.58
0x50362bDE0981346E883D6CE24902eBDD2F38C363	45.43	1	1	0.00	45.43	45.43	45.43	45.43	0.01
0x207F0c97AE34f3Db2550AF067f602421468cEcb8	44.20	3	3	26.84	51.75/43.90/36.94	51.75/43.90/36.94	51.75	36.94	363.12
0xc84226d42eAE9e0aaf7EE19a6259e976FFBb9987	43.84	7	7	16.14	66.88/52.16/51.98	66.88/52.16/51.98/37.47/35.28/33.05/30.04	66.88	30.04	70.62
0x25C5BFab6C2a4Efb7b6Bdf7B8a8D3a0Ea4530FeB	43.73	7	7	0.29	155.21/82.01/50.46	155.21/82.01/50.46/15.28/1.85/0.99/0.33	155.21	0.33	8.80
0x0ea6626C4e7FaA24F2729c576BF060F070009711	42.72	15	15	35.14	231.84/184.58/64.56	231.84/184.58/64.56/43.97/37.80/37.40/24.76/9.69/2.79/2.79	231.84	0.01	57.02
0x19DA615bEF6d4c8d047e46367B02583964796Ef6	41.72	1	1	34.87	41.72	41.72	41.72	41.72	142.60
0x4ad22Cad81D4f65D6C491e30918CA46186DA1889	41.71	2	2	0.67	53.80/29.63	53.80/29.63	53.80	29.63	10.13
0x59a918003D6eb9B45E82A636b25222c23284e0EC	41.40	3	3	11.64	99.10/25.01/0.09	99.10/25.01/0.09	99.10	0.09	264.30
0x966199697bE35C3E7CF072C171F19811fE7FaF1E	40.98	1	1	0.27	40.98	40.98	40.98	40.98	91.93
0xfc93233Ac03580EFedDA4f31C173fEC58CDd7AeC	40.87	27	27	653.30	200.67/177.90/133.24	200.67/177.90/133.24/72.98/57.42/55.11/52.58/48.64/47.74/41.22	200.67	0.37	10.47
0x2383Bf82926737ABcAba102bD57Bf9f4b32aC4Cd	40.47	3	3	62.77	40.78/40.56/40.07	40.78/40.56/40.07	40.78	40.07	51.21
0xcBCb9D93AB08c302E7941808480ac45195B1bAe7	40.14	1	1	3.59	40.14	40.14	40.14	40.14	472.68
0xbD6c3C04d308A8196D376c1464Da827AD13D99Ed	39.80	13	13	496.70	158.78/131.97/70.55	158.78/131.97/70.55/68.09/35.92/19.34/14.50/14.40/2.69/1.02	158.78	0.00	67.48
0x457b212AA12E300F60c831398EC56A7756B0813A	39.60	1	1	8.78	39.60	39.60	39.60	39.60	49.54
0xB4f17a684E1d358AbcFdb59292D4D32BD3e277D4	38.96	5	5	149.00	52.63/50.40/45.43	52.63/50.40/45.43/36.02/10.32	52.63	10.32	63.76
0x44A81a1C026a2E5a2bc0D7F23249fcbe2128c421	38.15	2	2	5.31	75.21/1.10	75.21/1.10	75.21	1.10	329.01
0x22D8A780622f5CdE976eBBc0E6940b90Bb17940b	38.14	1	1	0.03	38.14	38.14	38.14	38.14	335.54
0x9D746e9B998480cF28024555750BA7a03EFAE995	37.97	5	5	297.38	105.79/51.74/28.82	105.79/51.74/28.82/3.46/0.04	105.79	0.04	168.47
0xa82cFda09a89CaBee51DdB407a8A9008eBd57000	37.18	2	2	3.44	40.72/33.64	40.72/33.64	40.72	33.64	108.69
0xe59F17dB70181B505a3DB90ce7C01cF60Ad2a09B	36.91	2	2	32.32	61.00/12.82	61.00/12.82	61.00	12.82	110.61
0xEBB9c62cEB26ddFe2CDF8c67aE48B353c61Df602	36.17	4	4	1576.23	58.50/48.94/26.34	58.50/48.94/26.34/10.89	58.50	10.89	207.21
0x663eca127937034BfA3E7DF6367d98f89F505a27	35.47	1	1	11.33	35.47	35.47	35.47	35.47	552.47
0x5C2Dd71D1175E3EFdDE6d749259c48AE186EA22e	34.82	1	1	0.61	34.82	34.82	34.82	34.82	156.67
0x1AD495c305ce3e3Ac8Ee3df010eb661939A1D85c	34.79	1	1	185.91	34.79	34.79	34.79	34.79	480.52
0x7c3A919D2FE2587d8bfAd023F52E7c3Ca40204Ea	34.61	6	6	25.96	67.83/67.45/65.33	67.83/67.45/65.33/6.33/0.38/0.36	67.83	0.36	106.61
0x1f95b737929295dac6212bAC6A5Af82F8BF34325	33.81	2	2	225.95	60.42/7.21	60.42/7.21	60.42	7.21	114.43
0xdF8Be1e693dE1c140a59d938ea91D7217dAa69E1	33.41	1632	1632	13337.37	250.19/220.87/208.75	250.19/220.87/208.75/208.50/204.41/199.24/184.69/181.76/181.28/176.39	250.19	0.04	0.50
0x60ec766fAB0a1A21281b683853dfEe4dD007188D	32.75	1	1	251.38	32.75	32.75	32.75	32.75	362.25
0x0481C544db3B5510Af30de78f72D877483C584Ec	31.34	2	2	29.24	39.54/23.15	39.54/23.15	39.54	23.15	47.10
0x308C24C711b8533dCaA68B34247786F92ce1A071	31.16	2	2	38.81	31.78/30.54	31.78/30.54	31.78	30.54	7.75
0x198ad1cd6191C75a9985b091EBAD93c22b2cD928	30.79	2	2	1.52	61.17/0.41	61.17/0.41	61.17	0.41	140.88
0x8dD43b772f2Ce6B05922B499F834129CcE803FC2	30.21	1	1	1.65	30.21	30.21	30.21	30.21	163.94
0xB79D9c4E8F1459ACc69B0ff18fA2D8e238D1eb39	29.77	1	1	12.20	29.77	29.77	29.77	29.77	213.61
0x6E15a6c775CE76658a02DcfD550709c9Fe7b15FE	29.51	1	1	82.33	29.51	29.51	29.51	29.51	244.66
0x107E54cAdE8ED36d0AF34A9aB608578272E28522	29.18	2	2	7.05	58.35/0.00	58.35/0.00	58.35	0.00	632.86
0xd4E73022924E96dD2c98D61621A25B2a63011791	29.01	1	1	1.10	29.01	29.01	29.01	29.01	177.68
0x6F3eE852F0CE5f5A4495E069e9a57513Cc5B8Bac	28.82	2	2	0.21	37.98/19.67	37.98/19.67	37.98	19.67	37.28
0x792B40752f9666aba9396BF983BbB91157318410	28.72	1	1	2.04	28.72	28.72	28.72	28.72	165.58
0x2FF4D90DCD170f0fB0f698D22205CCA7B002cf12	28.31	2	2	11.93	41.83/14.80	41.83/14.80	41.83	14.80	39.76
0xd3817cF90d8342e8AF738B12488b1D504D558f38	27.41	2	2	2.01	54.82/0.00	54.82/0.00	54.82	0.00	643.93
0x93165Cb05e45ff9f2beCC9C2C87607031FaD119B	27.31	6	6	245.21	116.04/31.50/13.45	116.04/31.50/13.45/1.90/0.94/0.03	116.04	0.03	146.37
0x99E2A68C83154faB377BB62103B3835cceb25d1c	26.57	7	7	227.27	117.85/23.39/17.44	117.85/23.39/17.44/16.00/7.42/3.88/0.02	117.85	0.02	55.30
0x6B539142C4a86bfa91497Abae86edb4D0E074673	26.35	6	6	6.75	38.72/38.43/35.25	38.72/38.43/35.25/23.30/22.39/0.01	38.72	0.01	345.11
0xe3397E1d0799B5fBC01807f4306B4a9976d03D7F	26.24	1	1	0.41	26.24	26.24	26.24	26.24	255.53
0x6777C24946e60EE176e0f527E95b7f45D638099F	25.85	1	1	0.57	25.85	25.85	25.85	25.85	0.20
0x9415ff8a7f77BFeaBE7701304306f0afcA691F46	25.66	1	1	0.00	25.66	25.66	25.66	25.66	0.07
0x6ab9cb788b26A18E1d2f4036b9a3B7174F01f8bB	24.93	3	3	11.41	25.89/24.84/24.06	25.89/24.84/24.06	25.89	24.06	47.70
0xD985F9E76017a8Ce0A129522B9e63a7eb76837A2	23.75	4	4	3.41	55.81/24.34/14.83	55.81/24.34/14.83/0.02	55.81	0.02	83.75
0xfFfa33aA68eD4df55327Ad777B30356E3e3bde3d	23.69	1	1	0.00	23.69	23.69	23.69	23.69	1930.70
0x2f6A71f55b12A52a8Bfed357E307036f60A53176	23.07	1	1	7.00	23.07	23.07	23.07	23.07	527.77
0xFf4F7b726eE86f810531d2842B3BDd8A512dB594	23.05	1	1	0.00	23.05	23.05	23.05	23.05	0.37
0x2440070b639Ba1E69dd98e44dDB963594279c481	22.34	3	3	24.16	53.62/13.40/0.00	53.62/13.40/0.00	53.62	0.00	193.51
0xF616C2D1AD17A1B64921Fa3B21f8Df9D75FeE5c6	22.30	1	1	2.10	22.30	22.30	22.30	22.30	166.89
0x57De5488856e68710093996e6dE57d83a5A539C3	22.24	1	1	0.07	22.24	22.24	22.24	22.24	96.85
0x793fEd34e2007277493d36aF51357A5a52366941	22.09	3	3	28.63	46.08/14.75/5.44	46.08/14.75/5.44	46.08	5.44	368.75
0xd994881120714b3D517dEe230a2d949F467b2911	20.34	1	1	0.01	20.34	20.34	20.34	20.34	17.26
0x10de076d42CFDA9B6E2d5380B860be2670f909B0	20.27	2	2	262.53	40.32/0.23	40.32/0.23	40.32	0.23	83.99
0xE4f499A49CE43F9bdaE885f9B9dEB0a58dF2db05	20.15	1	1	138.45	20.15	20.15	20.15	20.15	240.37
0x8EF375585d0078b09a8f19c2982D6820104f1E92	19.82	2	2	0.04	39.36/0.28	39.36/0.28	39.36	0.28	201.18
0x5f0ec191dd465E6bD8B24B4F2591ee0d597bbA4f	19.29	2	2	0.03	25.97/12.60	25.97/12.60	25.97	12.60	0.09
0x2cB4D294C9858356f9A97455F388699dd4304E2a	18.80	1	1	12.76	18.80	18.80	18.80	18.80	122.53
0x9db1825249d6c79e3349d23CD2f8CC618A7D47F3	18.51	1	1	0.49	18.51	18.51	18.51	18.51	255.42
0x880AB14978a99585B1093b9d5E943eb1b2BCa76D	18.27	2	2	0.01	35.92/0.62	35.92/0.62	35.92	0.62	3.42
0xC118A1C2aB921d822BF5eC581cfb06BC7Be4f4Ce	18.12	1	1	40.10	18.12	18.12	18.12	18.12	209.59
0xe3F6873d6f342B8Fcc17A1aa23aE9223efF97073	17.87	5	5	0.70	83.61/4.32/0.74	83.61/4.32/0.74/0.65/0.01	83.61	0.01	166.44
0x9dd30B60d3a27B821D93C7ac4777be08983c7951	17.81	1	1	18.63	17.81	17.81	17.81	17.81	167.50
0xA89556E84d72Ba68845900602E2D922aF77E6EB9	17.79	4	4	62.00	54.83/12.43/3.68	54.83/12.43/3.68/0.23	54.83	0.23	97.99
0x8689384Fb044FEdbe9DC3315b2664Fd77FBCF13a	17.55	9	9	585.94	32.86/30.99/30.73	32.86/30.99/30.73/25.16/16.71/14.80/2.50/2.12/2.07	32.86	2.07	808.85
0x6e4aeB2Af9CE3b67116d8B19E6f1CA6b318Fc629	16.02	1	1	4.37	16.02	16.02	16.02	16.02	1.44
0x049328BCf660192B0766fD4aef24d07b60D3084d	15.98	1	1	19.40	15.98	15.98	15.98	15.98	257.02
0x408E19DF49159682dE98cceFfD92C3DE7687D1A6	15.82	1	1	5.31	15.82	15.82	15.82	15.82	581.86
0xeaCB83884fe953bf2Ed774e7ca57d9622E4aedAE	15.50	6	6	19.77	46.66/46.33/0.01	46.66/46.33/0.01/0.01/0.00/0.00	46.66	0.00	87.51
0x00738498dBc2065397496533CBA38b25a775c072	15.03	1	1	2.57	15.03	15.03	15.03	15.03	117.96
0xf9a7cCCd353E8A355EA937F15A70350392961A27	14.45	1	1	0.00	14.45	14.45	14.45	14.45	0.15
0x52ad60e77d2cab7eddcafc1f169af354f2b1508a	14.27	1	0	0.00	14.27	14.27	14.27	14.27	811.72
0x58eec7827c5692ecd39d0f7b859736a11c80655f	13.92	1	0	0.00	13.92	13.92	13.92	13.92	565.62
0x9ea6Cb453B9dc345075Da025e6cFE6050282eee0	13.61	1	1	0.36	13.61	13.61	13.61	13.61	73.86
0x61113aabb7b6FEd4871F9E69da294b170202a8b3	13.56	1	1	20.11	13.56	13.56	13.56	13.56	382.35
0x4e2088448e224d989f8151b99656a83bca5a7a3d	13.41	1	0	0.00	13.41	13.41	13.41	13.41	604.64
0x1Edf072892062Fc63F34977f8F717e39B5766cD6	12.91	1	1	0.11	12.91	12.91	12.91	12.91	73.94
0x8c9Eb0669b59Dd03DBbB3ec0bcA534E62EC9596f	12.71	8	8	2928.25	66.91/7.00/6.80	66.91/7.00/6.80/6.22/5.06/4.91/3.84/0.92	66.91	0.92	89.97
0x70E226fE5d1Ad4d50B489DdcD542220C449C05a2	12.65	1	1	0.00	12.65	12.65	12.65	12.65	0.82
0x17A692c1aFDa5C12b2F82d7461845E5C0D3De964	12.59	1	1	3.78	12.59	12.59	12.59	12.59	360.04
0xcec649bf930495a8359c2a23aeee9ad791fe206c	12.48	1	0	0.00	12.48	12.48	12.48	12.48	720.70
0x8151a6d6441006Bf71508d951B1405CA73FE6189	12.25	1	1	0.00	12.25	12.25	12.25	12.25	26.52
0xe5038202e011224821D7603C448846c1c306b3A7	11.23	1	1	4.64	11.23	11.23	11.23	11.23	266.82
0xd07209cc0d25e8d3465b2873e82fc5721fd662fb	11.19	1	0	0.00	11.19	11.19	11.19	11.19	801.94
0xDB3EDDf31B8dC904B71Fde9453543835Aa459394	10.44	1	1	0.01	10.44	10.44	10.44	10.44	2.80
0x417f2e25E774e489C0C51467E9922a7456F23b5a	10.29	1	1	0.09	10.29	10.29	10.29	10.29	1141.42
0x1b7971978E478f007807B7A362FD938ce89798eC	9.98	2	2	699.07	14.35/5.62	14.35/5.62	14.35	5.62	45.34
0x15F1D85b8C7044fC17A7efA0463E178C3C32F4D9	9.81	4	4	2.87	39.20/0.02/0.01	39.20/0.02/0.01/0.00	39.20	0.00	251.67
0x867ECD77AEEB3355E8104E6305ff2012B8bC463a	9.80	2	2	0.15	18.67/0.93	18.67/0.93	18.67	0.93	32.95
0xf8fcAB5A6Cb1cAF1586567532999dB529D0CD824	9.69	1	1	66.85	9.69	9.69	9.69	9.69	49.66
0xF4F7cEbbD2C7b6dEe34ab29fa55a116EfF25239f	9.66	1	1	8.11	9.66	9.66	9.66	9.66	11.99
0x834259095e35e9be612713c6b5e9e3a2d1ae5aaa	9.29	1	0	0.00	9.29	9.29	9.29	9.29	1556.31
0xbe7922321f8ab7f970d8cab9072ec12cb78feac2	8.89	1	0	0.00	8.89	8.89	8.89	8.89	423.22
0xEdC5062A401C7d7Cef8fA4E0F3416D838772D413	8.82	1	1	0.86	8.82	8.82	8.82	8.82	85.50
0x8834304f1b88b79b5be689bbd94c1d2144157b85	8.48	1	0	0.00	8.48	8.48	8.48	8.48	1464.89
0x2c392b3d8aa0c52c5c39c4458661d7ff338fb3c7	8.33	1	0	0.00	8.33	8.33	8.33	8.33	371.63
0x2E8fBA7125cFad75B8Bc750832B06aCae9729B16	8.13	1	1	0.00	8.13	8.13	8.13	8.13	0.09
0x972b0F9cDE1266e860E546ac92E783741769400F	8.12	24	24	7647.20	49.50/44.40/20.82	49.50/44.40/20.82/19.95/10.39/9.10/8.21/6.72/5.11/2.95	49.50	0.18	303.09
0x046cc6c199b2ac82a5775ae9fc2bc61a2091773f	8.08	1	0	0.00	8.08	8.08	8.08	8.08	551.92
0x33cf8eff06202a245f5892bafbd2fe1133cbc671	7.95	2	0	0.00	15.90/0.00	15.90/0.00	15.90	0.00	439.74
0x1ccf56149e62d37de11f999e9a278ed6bc4b18c1	7.60	1	0	0.00	7.60	7.60	7.60	7.60	409.46
0x9ef3cc93846817011B87f54a7E7285D0b308bfb8	7.50	2	2	319.44	9.55/5.44	9.55/5.44	9.55	5.44	229.15
0xf28cD05A4d9C5dAb90C99983c996343F0DD006e2	7.16	2	2	105.06	11.54/2.79	11.54/2.79	11.54	2.79	223.85
0xE4388e3DC6C52795afa14CbE867abEaBa635c32a	7.02	5	5	5.69	13.74/9.76/4.77	13.74/9.76/4.77/4.48/2.34	13.74	2.34	393.81
0x5e946542e2736d237c40541843fa3b23c93bb99c	6.70	1	0	0.00	6.70	6.70	6.70	6.70	314.76
0x2f6a71f55b12a52a8bfed357e307036f60a53176	6.46	2	0	0.00	12.93/0.00	12.93/0.00	12.93	0.00	539.86
0xdC6B26Cfab4186A7cF256e9807B3339439228b28	5.79	1	1	56.38	5.79	5.79	5.79	5.79	154.64
0x8dd5f4dD27D17c676704432533F0d5638e0c9075	5.62	3	3	11.38	14.34/1.73/0.78	14.34/1.73/0.78	14.34	0.78	142.27
0x1269d046BAb0A495cdd10598acef32f740F2Cbd1	5.28	1	1	76.94	5.28	5.28	5.28	5.28	822.49
0xE7d8AE1E5B1E1Beda18Ec57Dd23416605B56333E	5.28	1	1	1.58	5.28	5.28	5.28	5.28	94.18
0x51ed90b300e9fd0f8e238aaa9d0c7a728d0bef9e	5.20	1	0	0.00	5.20	5.20	5.20	5.20	333.84
0xa2ae13191774934040ad1df9253443e9e776ae14	5.19	2	0	0.00	10.38/0.00	10.38/0.00	10.38	0.00	380.49
0x214FaFf57bC33EdB2e16db2B730C1dF91A4C9E96	5.10	3	3	26.75	9.08/4.24/1.98	9.08/4.24/1.98	9.08	1.98	368.35
0x8409BE8Aedc057D59cC7B0d53aBcE88590BB842C	4.92	5	5	17.11	16.16/8.09/0.32	16.16/8.09/0.32/0.05/0.00	16.16	0.00	278.94
0x83DE3E5C3B0240c2253A765b49C9433d5A4aDa00	4.82	1	1	0.00	4.82	4.82	4.82	4.82	143.64
0xB962Bd73558a2faFaa61F4DA26e7cED912fCcd25	4.63	1	1	1.76	4.63	4.63	4.63	4.63	128.94
0xcfa5b854ec42868bd6568e982c62ef0a3319a19c	4.31	2	0	0.00	8.62/0.00	8.62/0.00	8.62	0.00	514.36
0x1855f7cbc582da5cd39e3d6112484874e39528de	4.31	1	0	0.00	4.31	4.31	4.31	4.31	431.62
0xf57aF81613F9Cb8F5515F2eBf8c65386Cd13d568	4.26	1	1	0.01	4.26	4.26	4.26	4.26	5.17
0xfd1a5d87AcBc2eAc24C32271158Ff6d25741e6b4	4.10	1	1	0.00	4.10	4.10	4.10	4.10	0.05
0x9A67019373DaAD79738163A03e54aFc7ed22e537	3.88	1	1	43.24	3.88	3.88	3.88	3.88	591.34
0xDde9Aef9dBafd7E481C241a01bEd2731708A6999	3.75	1	1	5.17	3.75	3.75	3.75	3.75	549.45
0x50559C65A960822198e283E985dEC7F32C6d4ED4	3.45	2	2	93.35	4.40/2.49	4.40/2.49	4.40	2.49	623.95
0x161468cb2160b46c500e8da0248b6bfdb3f32d6c	3.25	2	0	0.00	6.50/0.00	6.50/0.00	6.50	0.00	186.67
0xE9338E6d856436f938eAAE3D2Bf280341807b319	3.12	1	1	0.36	3.12	3.12	3.12	3.12	25.54
0x20634e1e1cfb9a5456dad5cc031d2100f841014f	3.07	1	0	0.00	3.07	3.07	3.07	3.07	532.59
0x967D63155Df43052bfBC54c78410B5Fd80dbeE9d	2.87	1	1	0.20	2.87	2.87	2.87	2.87	623.04
0xB9BABF5e342E5cBda79711f218aa772d3De77E36	2.80	1	1	6.30	2.80	2.80	2.80	2.80	124.78
0xb25ec62eb163ec4abc1562ea0b48599736a2e50a	2.80	1	0	0.00	2.80	2.80	2.80	2.80	592.39
0x16B00dB74167b7469dDa63b674Ca9A3B1b70C439	2.78	2	2	39.64	3.55/2.01	3.55/2.01	3.55	2.01	127.81
0xabBe56e3f84248bc3dD662Ef8aD7aD5533273333	2.75	2	2	2.82	5.37/0.14	5.37/0.14	5.37	0.14	635.36
0x37063204aa1468D13Aa7991aB0a2cbfA3D890507	2.72	1	1	0.14	2.72	2.72	2.72	2.72	17.27
0x9BC751A67932b2eB1A9E7206d29b292d3C4Bdf9b	2.72	1	1	6.00	2.72	2.72	2.72	2.72	221.03
0x70709614BF9aD5bBAb18E2244046d48f234a1583	2.61	1	1	0.03	2.61	2.61	2.61	2.61	1331.76
0x7B79fECf3a7c9342AEEfd3355798ca6D4e6382F8	2.36	4	4	29.00	9.42/0.01/0.01	9.42/0.01/0.01/0.01	9.42	0.01	711.95
0x0b266C991b50F2706aceb9B06f258Aa025397B59	2.31	1	1	1.82	2.31	2.31	2.31	2.31	692.41
0x14d4b70ed43723d42a7735a24508bdbf8a52cba3	2.03	1	0	0.00	2.03	2.03	2.03	2.03	658.86
0xCC8bDB943877123068a134f665D50f7d695e4DaC	1.98	1	1	647.78	1.98	1.98	1.98	1.98	351.26
0x2e164e11d3dc377f0446cf074b16ae5e18246bba	1.97	1	0	0.00	1.97	1.97	1.97	1.97	190.23
0xC3355123d69BFaD4006005b3471b0e3fD6177D84	1.85	3	3	0.18	2.20/1.75/1.59	2.20/1.75/1.59	2.20	1.59	467.05
0x64bd4b91f9cfe1d2f4a4dbe78511839a4ff0420c	1.79	1	0	0.00	1.79	1.79	1.79	1.79	170.86
0x77f1D7dc0F046c7b480F1103247740D45fDbd969	1.74	1	1	3.86	1.74	1.74	1.74	1.74	965.68
0x7d8ffF984d2427843486488e5C4F69581Bb4a929	1.57	1	1	24.87	1.57	1.57	1.57	1.57	1391.68
0xcEBB04bCFd184Be51723A1Cf63838365580839dF	1.52	1	1	21.75	1.52	1.52	1.52	1.52	937.00
0x010bc2D15616e92887062672D6c1FE9ef4D53C5e	1.40	1	1	0.24	1.40	1.40	1.40	1.40	76.22
0x640F27A256EeF9CAEce58e50058902CE80e9e331	1.25	1	1	0.00	1.25	1.25	1.25	1.25	0.39
0xD729e83C8693eCBbF1F1807DE21ba51259536902	1.11	4	4	10.88	2.29/2.13/0.01	2.29/2.13/0.01/0.00	2.29	0.00	179.82
0x0000000000000000000000000000000000000000	1.10	193	0	0.00	11.29/11.28/10.03	11.29/11.28/10.03/8.38/7.39/6.52/6.01/5.78/5.45/5.00	11.29	0.00	617.64
0x0e6281D84e3340f4e2A5266494df947FBE2C683f	0.99	17	17	6.10	14.32/1.72/0.16	14.32/1.72/0.16/0.16/0.13/0.12/0.08/0.06/0.04/0.01	14.32	0.00	93.98
0xb118a7b5C8591c70243ADC9a0b68395222Dcf86a	0.92	2	2	437.76	1.67/0.18	1.67/0.18	1.67	0.18	154.17
0x23444f470c8760bef7424c457c30dc2d4378974b	0.86	1	0	0.00	0.86	0.86	0.86	0.86	305.37
0x8555C5f95c85a43e7df1229E566aE33D1Ff89978	0.85	4	4	0.11	3.37/0.02/0.01	3.37/0.02/0.01/0.00	3.37	0.00	156.84
0x24d337865E9Bff6C8b65397b3c1f61FB78b1F1E3	0.41	1	1	0.00	0.41	0.41	0.41	0.41	982.02
0x719EE86F4d4BF7F9493151B48542848327FD9A5b	0.41	1	1	0.82	0.41	0.41	0.41	0.41	399.41
0x3e20202ac923c7681ffc817d0da4b7e3611fe91a	0.38	1	0	0.00	0.38	0.38	0.38	0.38	575.00
0xa6BE33aEd43Ba0CC991dAc108128b54622b90156	0.37	1	1	2.59	0.37	0.37	0.37	0.37	619.63
0xe803B310f45f07ff64b604d0A6C0f86b8978bE2f	0.36	1	1	2.29	0.36	0.36	0.36	0.36	1123.74
0x972E06d1C62E91884067aeDBa10BbBE792F9D22d	0.34	1	1	0.09	0.34	0.34	0.34	0.34	300.37
0x9b55cb6cae1e303b5edce6f9fcf90246d382809c	0.23	104	0	0.00	11.03/10.45/1.07	11.03/10.45/1.07/0.41/0.35/0.35/0.15/0.12/0.05/0.04	11.03	0.00	665.39
0x696dfAcE8EeD22c0BaCCDF091Cc49021DC04b790	0.21	1	1	9.19	0.21	0.21	0.21	0.21	819.91
0x1917B0965C613c3C5078C388C8cd1726Fbb149D2	0.20	2	2	0.01	0.22/0.18	0.22/0.18	0.22	0.18	149.73
0x956ab1BA86F0d53aE18b927134E8405ddEdb4E0C	0.17	1	1	0.26	0.17	0.17	0.17	0.17	95.78
0xD0393824150e9bC00853557123d72391448745A4	0.15	1	1	0.02	0.15	0.15	0.15	0.15	128.05
0x8C16c6a44dF24595AfC8Da16ca5e17a1fb61C544	0.14	1	1	0.05	0.14	0.14	0.14	0.14	96.13
0x9cfd3a390a29cb95a103d03ad9c00dfe2789140a	0.12	1	0	0.00	0.12	0.12	0.12	0.12	327.37
0x41ae82A428202FA83e15B44fDd982C016ccE5fCE	0.11	1	1	0.00	0.11	0.11	0.11	0.11	4.13
0xf57af81613f9cb8f5515f2ebf8c65386cd13d568	0.08	3	0	0.00	0.25/0.00/0.00	0.25/0.00/0.00	0.25	0.00	160.37
0x82BD5fD0F73bA74f335917991519b151f7eD6E02	0.08	1	1	0.00	0.08	0.08	0.08	0.08	1.82
0xbbeb3d9336e6b0928Cb1f128A1dd382F2e9605E0	0.05	6	6	10.64	0.26/0.04/-0.00	0.26/0.04/-0.00/0.00/0.00/0.00	0.26	0.00	1040.36
0x0a3b01e66bd3896e000fd9e24e929961f3e6530d	0.04	33	0	0.00	0.74/0.47/0.08	0.74/0.47/0.08/0.02/0.01/0.01/0.01/0.01/0.01/0.00	0.74	0.00	221.39
0x761038c1f0db073c975f1792f278c5b74b059f0f	0.04	1	0	0.00	0.04	0.04	0.04	0.04	165.18
0x5652613860aEC5A3F0bC4c12B9178c9faA7BFE39	0.03	1	1	0.11	0.03	0.03	0.03	0.03	1430.69
0xd7e861db1dda75dd33004e455ed1c58081daee89	0.02	1	0	0.00	0.02	0.02	0.02	0.02	43.63
0x0A5D1F5B3eAEF4caB0F364dF37050675533796DD	0.02	1	1	0.00	0.02	0.02	0.02	0.02	0.89
0x4208caed59c89f9e337eca245413062d553e92d9	0.01	2	0	0.00	0.02/0.00	0.02/0.00	0.02	0.00	300.99
0x9D5b3374b0145d78566aAbd45fC75FAB668ceD1d	0.01	1	1	1.42	0.01	0.01	0.01	0.01	1158.12
