name	address	deposit_time	deposit_asset0	deposit_asset1	deposit_amount0	deposit_amount1	deposit_value0	deposit_value1	deposit_value	reward_asset0	reward_asset1	reward_amount0	reward_amount1	reward_value0	reward_value1	reward_value	total_days	total_blocks	apr	type	deposit_link
shadow	0x9053fe060f412ad5677f934f89e07524343ee8e7	25/03/17 19:03:00	USDC.e	USDT	10.00000	4.78420	10.00000	4.78420	14.7842	SHADOW	xSHADOW	0.000000	0.000913526	0.000000	0.0186816	0.0186816	38.96	7977688	1.18000	Swap pool	https://www.shadow.so/liquidity/0x9053fe060f412ad5677f934f89e07524343ee8e7
shadow	0x9053fe060f412ad5677f934f89e07524343ee8e7	25/03/22 00:03:00	USDC.e	USDT	4.99991	0.0548520	4.99991	0.0548520	5.05476	SHADOW	xSHADOW	0.000000	0.000193780	0.000000	0.00396280	0.00396280	34.73	7144658	0.820000	Swap pool	https://www.shadow.so/liquidity/0x9053fe060f412ad5677f934f89e07524343ee8e7
shadow	0x9053fe060f412ad5677f934f89e07524343ee8e7	25/03/22 19:03:00	USDC.e	USDT	0.000000	5.00000	0.000000	5.00000	5.00000	SHADOW	xSHADOW	0.000000	0.000143070	0.000000	0.00292577	0.00292577	33.94	6990721	0.630000	Swap pool	https://www.shadow.so/liquidity/0x9053fe060f412ad5677f934f89e07524343ee8e7
swapx	0x640429b0633851f487639bcdd8ed523ddf1bbff8	25/03/17 19:03:00	USDC.e	scUSD	1.20788	8.79244	1.20788	8.79244	10.0003	SWPx		0.304525		0.0507034		0.0507034	38.96	7976721	4.75000	Swap pool	https://swapx.fi/earn?search=USDC.e/scUSD
magpie pendle	0x3f5ea53d1160177445b1898afbb16da111182418	25/03/17 21:03:00	aUSDC LP		0.00000000000489710		10.0135		10.0135	PENDLE		0.00987565		0.0284419		0.0284419	38.85	7955054	2.67000	Swap pool	https://www.pendle.magpiexyz.io/stake/0x3f5ea53d1160177445b1898afbb16da111182418
